Name,Category,
Premia Tea Masala,Dairy,
Amul Butter,Dairy,
Society Tea,Dairy,
Wagh Bakri Premium Leaf Tea Pouch,Dairy,
Brooke Bond Red Label Tea,Dairy,
Tata Tea Agni,Dairy,
Brooke Bond Red Label Natural Care Tea,Dairy,
Girnar Royal Cup Tea,Dairy,
Tata Tea Premium,Dairy,
Taj Mahal Tea,Dairy,
Tata Tea Gold,Dairy,
Society Masala Tea,Dairy,
Wagh Bakri Navchetan Tea,Dairy,
Nutralite Fat Spread,Dairy,
Tetley Lemon & Honey Green Tea Bags,Dairy,
Brooke Bond Taaza Tea,Dairy,
Mother Dairy Pasteurized Butter,Dairy,
Delicious Fat Spread,Dairy,
Tata Tea Gold Care,Dairy,
Lipton Green Tea Bags - Honey Lemon,Dairy,
Society Masala Flavour Tea Pouch,Dairy,
Amul Garlic & Herbs Buttery Spread,Dairy,
Tata Tea Teaveda,Dairy,
Girnar Detox Desi Kahwa Green Tea,Dairy,
Amul Butter School Pack,Dairy,
Brooke Bond Taj Mahal Tea Bags,Dairy,
Nutralite Fat Spread UKE,Dairy,
Girnar Jumbo Gulabi CTC Leaf Tea,Dairy,
Lipton Green Tea Bags - Pure & Light,Dairy,
Goodricke Super Cup Tea,Dairy,
Girnar Masala Instant Premix Chai,Dairy,
Lipton Pure & Light Green Tea,Dairy,
Amul Lite Milk Fat Bread Spread,Dairy,
Girnar Cardamom Instant Premix Chai,Dairy,
Tetley Ginger Mint Lemon Green Tea,Dairy,
Tea Country Honey & Lemon Green Tea,Dairy,
President Premium Butter Salted,Dairy,
Amul White Butter Unsalted,Dairy,
Lipton Green Tea - Lemon Zest,Dairy,
Tetley Long Leaf Green Tea Powder,Dairy,
Wagh Bakri Green Tea Honey Lemon,Dairy,
Organic India Tulsi Green Tea - Lemon Ginger,Dairy,
Wagh Bakri Premix Instant Tea,Dairy,
Arbor Treat Assam CTC Tea,Dairy,
President Premium Butter Unsalted,Dairy,
Wagh Bakri Green Tea Tulsi,Dairy,
Wagh Bakri Premix Masala Instant Tea,Dairy,
Tea Country Original Green Tea,Dairy,
Wagh Bakri Premix Elaichi Instant Tea,Dairy,
Wagh Bakri Green Tea Mint,Dairy,
Wagh Bakri Green Tea Bags,Dairy,
Society Cleanse Detox Kahwa Green Tea Premix,Dairy,
TGL Co. Kashmiri Kahwa Green Tea,Dairy,
TGL Co. Mogo Mogo Green Tea,Dairy,
Society Premium Tea,Dairy,
Society Masala Tea Pouch,Dairy,
Amul Taaza Toned Milk,Dairy,
Nandini Good Life Toned Milk,Dairy,
Amul Gold Homogenised Standardised Milk,Dairy,
Go Double Toned Milk,Dairy,
Amul Slim-n-Trim Skimmed Milk,Dairy,
Nestlé A+ Nourish Toned Milk,Dairy,
Amul Kool Kesar Milk,Dairy,
Amul Kool Badam Milk,Dairy,
Amul Kool Café Milk,Dairy,
Amul Kool Elaichi Milk,Dairy,
Epigamia Milkshake Chocolate,Dairy,
Cavin's Chocolate Milkshake,Dairy,
Amul Kool Rose Milk,Dairy,
Amul Lactose Free Milk,Dairy,
Cavin's Vanilla Milkshake,Dairy,
Epigamia Milkshake Strawberry,Dairy,
Sofit Soya Drink Naturally Sugar Free,Dairy,
Raw Pressery Almond Milk Plain (Unsweetened),Dairy,
Sofit Soya Drink Chocolate,Dairy,
Lipton Green Tea - Tulsi Natura,Dairy,
Sofit Soya Drink Vanilla,Dairy,
Tea Country Tulsi Green Tea,Dairy,
Chitale Flavoured Milk Butterscotch,Dairy,
Amul Basundi Kesar Elaichi,Dairy,
Arbor Qahwa Green Tea With Herbs & Spices,Dairy,
Sofit Soya Drink Kesar Pista,Dairy,
Chitale Flavoured Milk - Coffee,Dairy,
Mother Dairy Cheese Slices,Dairy,
Mother Dairy Cheese Cubes,Dairy,
Gowardhan Processed Cheese Angles Plain,Dairy,
Gowardhan Processed Cheese,Dairy,
Gowardhan Go Pizza Cheese,Dairy,
